tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year
tile_r0_c0,32,27,10850.499,17649.257,623.344,48.140128,11.539779,Schwanthalerhöhe,08,2024
tile_r0_c1,21,17,3071.19,13732.183,115.688,48.143125,11.539779,Maxvorstadt,03,2024
tile_r0_c2,31,25,17782.961,19048.644,725.604,48.146122,11.539779,Neuhausen-Nymphenburg,09,2024
tile_r0_c3,42,35,22087.602,27732.217,659.555,48.149119,11.539779,Neuhausen-Nymphenburg,09,2024
tile_r0_c4,51,40,12059.705,29096.911,205.49,48.152115,11.539779,Neuhausen-Nymphenburg,09,2024
tile_r0_c5,7,6,456.278,666.443,1.427,48.154029,11.539779,Neuhausen-Nymphenburg,09,2024
tile_r10_c0,30,22,32942.613,9961.355,755.199,48.140128,11.584694,Altstadt-Lehel,01,2024
tile_r10_c1,18,12,20555.282,11925.268,1101.75,48.143125,11.584694,Altstadt-Lehel,01,2024
tile_r10_c2,29,25,5402.818,12911.675,207.448,48.146122,11.584694,Altstadt-Lehel,01,2024
tile_r10_c3,39,33,4521.776,20304.646,123.519,48.149119,11.584694,Maxvorstadt,03,2024
tile_r10_c4,46,38,11581.519,35029.288,433.282,48.152115,11.584694,Schwabing-Freimann,12,2024
tile_r10_c5,1,1,0.0,240.311,0.0,48.154029,11.584694,Schwabing-Freimann,12,2024
tile_r11_c0,27,20,18495.024,37758.765,340.089,48.140128,11.589186,Altstadt-Lehel,01,2024
tile_r11_c1,19,14,11296.08,16314.329,198.974,48.143125,11.589186,Altstadt-Lehel,01,2024
tile_r11_c2,4,4,0.0,436.995,0.0,48.146122,11.589186,Altstadt-Lehel,01,2024
tile_r11_c3,2,2,0.0,93.677,0.0,48.149119,11.589186,Altstadt-Lehel,01,2024
tile_r11_c4,20,17,1622.328,2907.202,52.673,48.152115,11.589186,Altstadt-Lehel,01,2024
tile_r11_c5,5,5,0.0,153.362,0.0,48.154029,11.589186,Schwabing-Freimann,12,2024
tile_r12_c0,20,16,8246.431,15734.991,112.407,48.140128,11.593678,Altstadt-Lehel,01,2024
tile_r12_c1,29,21,7586.553,25912.361,257.724,48.143125,11.593678,Altstadt-Lehel,01,2024
tile_r12_c2,33,25,20449.307,15370.633,180.045,48.146122,11.593678,Altstadt-Lehel,01,2024
tile_r12_c3,21,16,11517.294,7003.552,61.284,48.149119,11.593678,Altstadt-Lehel,01,2024
tile_r12_c4,20,19,621.478,4714.743,12.85,48.152115,11.593678,Altstadt-Lehel,01,2024
tile_r12_c5,0,0,0.0,0.0,0.0,48.154029,11.593678,Schwabing-Freimann,12,2024
tile_r13_c0,34,28,4530.257,13148.789,305.461,48.140128,11.598169,Au-Haidhausen,05,2024
tile_r13_c1,29,26,1544.432,10809.431,93.486,48.143125,11.598169,Bogenhausen,13,2024
tile_r13_c2,18,16,347.669,3928.712,178.774,48.146122,11.598169,Bogenhausen,13,2024
tile_r13_c3,21,17,5772.437,4005.502,118.743,48.149119,11.598169,Bogenhausen,13,2024
tile_r13_c4,20,15,12201.795,9207.272,538.944,48.152115,11.598169,Schwabing-Freimann,12,2024
tile_r13_c5,0,0,0.0,0.0,0.0,48.154029,11.598169,Schwabing-Freimann,12,2024
tile_r14_c0,31,25,18764.623,18372.628,303.12,48.140128,11.602661,Au-Haidhausen,05,2024
tile_r14_c1,56,47,17523.801,19938.09,219.266,48.143125,11.602661,Bogenhausen,13,2024
tile_r14_c2,60,53,11705.845,19135.977,369.857,48.146122,11.602661,Bogenhausen,13,2024
tile_r14_c3,37,31,13145.434,14257.938,919.65,48.149119,11.602661,Bogenhausen,13,2024
tile_r14_c4,34,28,6483.05,12761.513,205.279,48.152115,11.602661,Bogenhausen,13,2024
tile_r14_c5,0,0,0.0,0.0,0.0,48.154029,11.602661,Bogenhausen,13,2024
tile_r15_c0,25,18,15439.372,21176.077,161.917,48.140128,11.607152,Bogenhausen,13,2024
tile_r15_c1,66,59,2917.587,16308.295,83.287,48.143125,11.607152,Bogenhausen,13,2024
tile_r15_c2,74,59,6957.203,15771.794,577.95,48.146122,11.607152,Bogenhausen,13,2024
tile_r15_c3,37,31,10469.316,15463.036,253.839,48.149119,11.607152,Bogenhausen,13,2024
tile_r15_c4,59,50,7184.736,15969.496,355.652,48.152115,11.607152,Bogenhausen,13,2024
tile_r15_c5,3,3,0.0,265.087,0.0,48.154029,11.607152,Bogenhausen,13,2024
tile_r16_c0,30,25,4907.264,24644.183,153.737,48.140128,11.611644,Bogenhausen,13,2024
tile_r16_c1,50,44,7233.658,11666.429,313.284,48.143125,11.611644,Bogenhausen,13,2024
tile_r16_c2,100,86,4688.807,19567.402,545.021,48.146122,11.611644,Bogenhausen,13,2024
tile_r16_c3,74,68,3365.965,18972.605,202.437,48.149119,11.611644,Bogenhausen,13,2024
tile_r16_c4,54,48,3671.951,16316.946,533.219,48.152115,11.611644,Bogenhausen,13,2024
tile_r16_c5,1,1,0.0,12.638,0.0,48.154029,11.611644,Bogenhausen,13,2024
tile_r17_c0,48,43,3537.105,26636.234,101.782,48.140128,11.616135,Bogenhausen,13,2024
tile_r17_c1,40,36,2100.56,19332.421,262.506,48.143125,11.616135,Bogenhausen,13,2024
tile_r17_c2,83,79,2238.048,14577.482,79.559,48.146122,11.616135,Bogenhausen,13,2024
tile_r17_c3,50,43,11879.012,16932.036,207.533,48.149119,11.616135,Bogenhausen,13,2024
tile_r17_c4,29,25,15735.889,14013.872,761.633,48.152115,11.616135,Bogenhausen,13,2024
tile_r17_c5,2,2,0.0,241.637,0.0,48.154029,11.616135,Bogenhausen,13,2024
tile_r18_c0,57,47,14309.477,23187.076,1070.976,48.140128,11.620627,Bogenhausen,13,2024
tile_r18_c1,44,41,1471.552,18188.184,8.818,48.143125,11.620627,Bogenhausen,13,2024
tile_r18_c2,77,68,571.359,4781.391,143.079,48.146122,11.620627,Bogenhausen,13,2024
