iter	Passed	Remaining
0	4	4336
1	8	4204
2	12	4087
3	15	3944
4	19	3889
5	23	3924
6	26	3816
7	30	3770
8	34	3748
9	37	3731
10	41	3719
11	44	3698
12	49	3723
13	53	3735
14	57	3763
15	60	3731
16	65	3764
17	68	3758
18	72	3736
19	76	3730
20	80	3737
21	84	3753
22	87	3729
23	91	3702
24	94	3696
25	98	3688
26	103	3723
27	106	3713
28	110	3702
29	114	3693
30	117	3685
31	121	3667
32	124	3649
33	128	3636
34	131	3616
35	134	3602
36	137	3587
37	141	3577
38	144	3566
39	148	3552
40	150	3526
41	154	3522
42	157	3498
43	160	3485
44	163	3466
45	166	3445
46	168	3426
47	171	3405
48	174	3387
49	177	3373
50	180	3357
51	183	3339
52	186	3324
53	189	3313
54	192	3299
55	195	3289
56	198	3276
57	201	3265
58	204	3258
59	207	3248
60	211	3248
61	213	3236
62	216	3222
63	219	3208
64	222	3199
65	225	3191
66	228	3179
67	231	3166
68	233	3156
69	236	3148
70	240	3140
71	243	3133
72	246	3126
73	249	3118
74	252	3108
75	255	3101
76	258	3094
77	261	3086
78	263	3075
79	266	3068
80	270	3067
81	273	3061
82	276	3053
83	279	3045
84	282	3038
85	285	3029
86	288	3025
87	291	3017
88	294	3010
89	296	3002
90	299	2994
91	304	3001
92	307	2998
93	310	2992
94	313	2986
95	316	2981
96	319	2975
97	322	2971
98	325	2965
99	328	2960
100	331	2954
101	334	2948
102	339	2954
103	342	2948
104	345	2948
105	348	2943
106	352	2938
107	355	2932
108	357	2926
109	360	2920
110	363	2914
111	367	2910
112	369	2904
113	373	2899
114	376	2894
115	379	2890
116	382	2885
117	385	2881
118	388	2875
119	391	2871
120	394	2862
121	397	2858
122	400	2853
123	403	2848
124	405	2841
125	409	2838
126	412	2834
127	415	2831
128	418	2828
129	423	2831
130	426	2828
131	429	2826
132	433	2823
133	436	2818
134	439	2813
135	442	2808
136	445	2803
137	448	2800
138	451	2796
139	454	2790
140	457	2785
141	460	2781
142	464	2782
143	467	2777
144	470	2772
145	472	2766
146	476	2762
147	478	2756
148	482	2753
149	484	2747
150	487	2743
151	490	2736
152	493	2731
153	496	2728
154	499	2724
155	502	2718
156	505	2713
157	508	2709
158	511	2704
159	514	2700
160	517	2695
161	521	2696
162	524	2692
163	527	2688
164	530	2686
165	533	2681
166	537	2678
167	540	2675
168	543	2671
169	546	2667
170	549	2665
171	552	2661
172	555	2657
173	558	2650
174	562	2653
175	565	2647
176	569	2647
177	572	2642
178	575	2640
179	578	2635
180	581	2630
181	584	2626
182	587	2622
183	590	2618
184	594	2618
185	597	2616
186	602	2617
187	604	2612
188	607	2608
189	610	2603
190	613	2600
191	616	2596
192	619	2591
193	622	2587
194	626	2584
195	628	2579
196	632	2576
197	634	2571
198	638	2568
199	641	2565
200	644	2561
201	648	2560
202	650	2555
203	653	2550
204	656	2545
205	659	2541
206	662	2536
207	664	2531
208	667	2527
209	670	2523
210	673	2518
211	676	2514
212	679	2510
213	682	2505
214	685	2501
215	687	2494
216	690	2491
217	693	2487
218	696	2483
219	699	2479
220	702	2475
221	705	2471
222	708	2467
223	711	2463
224	713	2459
225	716	2455
226	719	2451
227	723	2449
228	726	2447
229	729	2442
230	732	2438
231	735	2434
232	738	2431
233	741	2426
234	744	2422
235	747	2418
236	749	2414
237	753	2411
238	755	2407
239	759	2405
240	762	2401
241	767	2405
242	772	2406
243	776	2405
244	780	2403
245	784	2403
246	788	2403
247	791	2399
248	796	2401
249	800	2401
250	803	2399
251	806	2395
252	810	2393
253	813	2390
254	816	2386
255	819	2383
256	822	2378
257	826	2377
258	829	2372
259	832	2368
260	835	2365
261	838	2361
262	841	2356
263	843	2352
264	846	2348
265	849	2344
266	852	2340
267	855	2335
268	858	2331
269	860	2327
270	863	2323
271	866	2319
272	869	2316
273	872	2312
274	875	2308
275	878	2304
276	881	2301
277	884	2298
278	887	2294
279	890	2290
280	893	2287
281	896	2283
282	899	2279
283	902	2276
284	906	2273
285	911	2276
286	916	2276
287	919	2272
288	922	2268
289	924	2264
290	928	2261
291	931	2258
292	934	2255
293	937	2251
294	940	2248
295	943	2244
296	947	2242
297	950	2238
298	954	2237
299	957	2233
300	960	2229
301	964	2228
302	966	2224
303	969	2220
304	972	2216
305	975	2212
306	978	2208
307	981	2205
308	984	2201
309	987	2197
310	990	2194
311	993	2190
312	996	2187
313	999	2182
314	1002	2179
315	1005	2175
316	1008	2172
317	1011	2168
318	1014	2165
319	1017	2161
320	1020	2157
321	1023	2154
322	1026	2150
323	1029	2147
324	1032	2143
325	1035	2140
326	1038	2136
327	1041	2132
328	1044	2129
329	1046	2125
330	1049	2122
331	1052	2118
332	1055	2115
333	1058	2110
334	1061	2107
335	1064	2103
336	1067	2099
337	1069	2095
338	1072	2091
339	1075	2088
340	1078	2084
341	1081	2080
342	1084	2077
343	1087	2073
344	1090	2070
345	1093	2067
346	1096	2063
347	1099	2060
348	1102	2056
349	1105	2053
350	1108	2049
351	1111	2047
352	1114	2043
353	1117	2039
354	1121	2036
355	1124	2034
356	1127	2030
357	1131	2028
358	1134	2025
359	1136	2021
360	1141	2020
361	1144	2016
362	1147	2013
363	1150	2009
364	1153	2006
365	1156	2003
366	1159	2000
367	1162	1996
368	1165	1992
369	1168	1988
370	1171	1985
371	1174	1982
372	1177	1978
373	1181	1977
374	1184	1974
375	1187	1970
376	1190	1967
377	1193	1963
378	1195	1959
379	1198	1955
380	1201	1952
381	1204	1948
382	1209	1947
383	1212	1944
384	1215	1941
385	1218	1938
386	1223	1937
387	1226	1934
388	1230	1932
389	1232	1928
390	1235	1925
391	1239	1921
392	1242	1918
393	1245	1914
394	1247	1911
395	1251	1908
396	1254	1905
397	1257	1901
398	1260	1898
399	1263	1894
400	1266	1892
401	1269	1888
402	1273	1885
403	1275	1881
404	1278	1878
405	1281	1874
406	1284	1871
407	1287	1867
408	1290	1864
409	1292	1860
410	1295	1857
411	1298	1853
412	1301	1850
413	1304	1846
414	1307	1843
415	1310	1839
416	1313	1836
417	1317	1834
418	1320	1831
419	1323	1827
420	1326	1824
421	1329	1820
422	1331	1816
423	1334	1813
424	1337	1809
425	1340	1806
426	1343	1803
427	1346	1799
428	1349	1796
429	1352	1792
430	1355	1789
431	1358	1785
432	1361	1782
433	1364	1780
434	1367	1776
435	1370	1773
436	1373	1769
437	1376	1766
438	1380	1764
439	1383	1760
440	1386	1757
441	1389	1754
442	1393	1751
443	1397	1749
444	1400	1746
445	1402	1742
446	1405	1739
447	1409	1736
448	1413	1734
449	1415	1730
450	1418	1727
451	1422	1724
452	1425	1721
453	1428	1718
454	1431	1715
455	1435	1711
456	1437	1708
457	1440	1704
458	1443	1701
459	1446	1698
460	1449	1694
461	1452	1691
462	1455	1688
463	1459	1685
464	1462	1682
465	1465	1679
466	1468	1675
467	1472	1674
468	1475	1671
469	1479	1667
470	1481	1664
471	1484	1661
472	1487	1657
473	1490	1653
474	1493	1650
475	1496	1647
476	1500	1645
477	1504	1642
478	1507	1639
479	1510	1636
480	1513	1633
481	1516	1630
482	1519	1626
483	1522	1623
484	1526	1620
485	1529	1618
486	1533	1615
487	1537	1612
488	1540	1609
489	1543	1606
490	1546	1603
491	1549	1599
492	1553	1597
493	1556	1594
494	1559	1591
495	1562	1587
496	1565	1584
497	1569	1581
498	1572	1578
499	1575	1575
500	1578	1572
