,CatBoost,HistGBR,LightGBM
panel_area_lag1,76.5900573256508,78.86886314052168,69.83736361220753
total_rooftops,9.885841149875526,7.01217670740336,10.163725891623024
year,6.013829135694704,5.7306154682939665,6.033240897064619
tile_encoded,0.5999843195137715,1.249700178457622,2.4677910543218005
tile_centroid_lat,1.066229405215484,1.931374725157297,2.4224825262281597
pv_price,1.9269222606035468,1.068805356149579,1.7443985387603416
tile_centroid_lon,0.36152070403325215,0.6384465870667335,1.4644958950930012
Elderly_Population,0.5747774230825138,0.31633550904739194,1.2404479260680719
Young_Population,1.7389138637378847,0.9327030268840396,1.135171152856166
Total_Population,0.3819028318615253,0.4612626360787814,0.9330103014046986
employed,0.3017568781169688,0.39478301563385654,0.8792450246416197
Unemployment_Rate,0.20082083462646827,0.7589245866083,0.7276254721187491
Average_Age,0.20050309856522697,0.4134535080466263,0.5578125969657783
ev_points_164m,0.1569407694223271,0.22255555465076382,0.39318911064645107
