iter	RMSE
0	1.238198466
1	1.191200134
2	1.149051627
3	1.108391058
4	1.069437936
5	1.032902725
6	0.9982670147
7	0.9654971855
8	0.9340732291
9	0.9042633026
10	0.8775811899
11	0.8523840126
12	0.8275219556
13	0.8056020391
14	0.784688885
15	0.7647519622
16	0.7466462924
17	0.7284170429
18	0.7123662757
19	0.6968479223
20	0.6828863827
21	0.6691098409
22	0.6564361092
23	0.6448992697
24	0.6349760867
25	0.6247331602
26	0.6149776929
27	0.6070352713
28	0.5991113855
29	0.5912190954
30	0.5845198875
31	0.5776353099
32	0.5714648024
33	0.5652308359
34	0.5604161665
35	0.5558316132
36	0.5506312458
37	0.5462821971
38	0.542319443
39	0.5377535024
40	0.5337876789
41	0.5303996706
42	0.5271141477
43	0.5235187736
44	0.5203619292
45	0.5170217038
46	0.5134316201
47	0.5108054827
48	0.5091210096
49	0.5063973357
50	0.5037993238
51	0.5017042034
52	0.5000723663
53	0.4982413351
54	0.4961527023
55	0.4949879379
56	0.4935883196
57	0.4921399361
58	0.4909064433
59	0.4889064838
60	0.4874985191
61	0.4866431853
62	0.4854868147
63	0.4841522519
64	0.4829085959
65	0.4818002024
66	0.4806992613
67	0.4787460585
68	0.4778257027
69	0.4766496646
70	0.4751528434
71	0.4744390829
72	0.4737208777
73	0.4721430993
74	0.4712948267
75	0.4684482433
76	0.4678566349
77	0.4671691565
78	0.4665899564
79	0.4657477087
80	0.4641801611
81	0.4635641675
82	0.4628129968
83	0.4622233251
84	0.4618011175
85	0.4611577779
86	0.4606197404
87	0.4601852647
88	0.4589360424
89	0.4583732604
90	0.4570126882
91	0.4563644471
92	0.4558956679
93	0.4554470845
94	0.4548194375
95	0.4537208323
96	0.4531736461
97	0.4527011947
98	0.4517863906
99	0.4510752078
100	0.4506923009
101	0.4504914587
102	0.4502951886
103	0.4489721641
104	0.4487326585
105	0.4483635698
106	0.4482136643
107	0.4479058457
108	0.4474981812
109	0.4470718958
110	0.4469192369
111	0.4463298234
112	0.4460363951
113	0.4441901088
114	0.443887379
115	0.4430784808
116	0.4420846238
117	0.4417255425
118	0.4414606475
119	0.4404259134
120	0.4403435315
121	0.4397873152
122	0.4395422848
123	0.4391765881
124	0.4389217729
125	0.4386531151
126	0.438339668
127	0.4378829293
128	0.437671267
129	0.43726454
130	0.4371162433
131	0.4368101841
132	0.4361110152
133	0.4358929214
134	0.435362396
135	0.4351063247
136	0.4349073251
137	0.4346110146
138	0.4344988605
139	0.4344295767
140	0.4337873341
141	0.4333783345
142	0.4330699462
143	0.4327312305
144	0.4324440783
145	0.4321896169
146	0.4317240608
147	0.4311769509
148	0.4307995677
149	0.4305268961
150	0.4302525834
151	0.4300763723
152	0.4298072066
153	0.4296067956
154	0.4294043221
155	0.429166446
156	0.4290335945
157	0.4289069055
158	0.4288265054
159	0.4284640241
160	0.4276617394
161	0.4274474765
162	0.427311698
163	0.4271769768
164	0.4270491676
165	0.4267562207
166	0.4263539558
167	0.4259890477
168	0.4257356708
169	0.4256372979
170	0.425348974
171	0.4252786598
172	0.4248159778
173	0.4246430841
174	0.424412227
175	0.424188929
176	0.4240026457
177	0.4237971387
178	0.4236552655
179	0.423553883
180	0.4234699109
181	0.4232587565
182	0.4230062396
183	0.4228697083
184	0.4226003173
185	0.4223420685
186	0.4221629315
187	0.4220224715
188	0.4218003241
189	0.4217131075
190	0.4213156067
191	0.4211912039
192	0.4204624275
193	0.4203053362
194	0.4202423838
195	0.4200492294
196	0.4197971253
197	0.4197817011
198	0.4197528438
199	0.419611431
200	0.4195521868
201	0.4193960928
202	0.4192580949
203	0.4191395612
204	0.4189236243
205	0.418762024
206	0.4186663562
207	0.4185682395
208	0.4183625894
209	0.4175011688
210	0.4173169336
211	0.4172014477
212	0.4170483969
213	0.4167723524
214	0.4164486374
215	0.4164426386
216	0.4163708811
217	0.416229793
218	0.4155083839
219	0.4148449752
220	0.4146363157
221	0.4144273136
222	0.4142416057
223	0.414013874
224	0.4138648359
225	0.4137039051
226	0.4136380897
227	0.4135675908
228	0.4133929332
229	0.4131093143
230	0.4129397382
231	0.4129048144
232	0.412721152
233	0.4126251728
234	0.4124748619
235	0.4123464137
236	0.4121357073
237	0.4120557725
238	0.4119221633
239	0.4118245285
240	0.4116972512
241	0.4116451924
242	0.4114779515
243	0.4113763744
244	0.4112499139
245	0.4111163723
246	0.4109803944
247	0.4109116421
248	0.4108546564
249	0.4106906979
250	0.4104534964
251	0.4103370138
252	0.4099140143
253	0.4097743537
254	0.40966173
255	0.4095256926
256	0.4094224124
257	0.4093098748
258	0.4092618004
259	0.4091160318
260	0.4088934268
261	0.4088376281
262	0.4087323384
263	0.4086426774
264	0.4086119758
265	0.4083563337
266	0.408312277
267	0.4082873374
268	0.4082179514
269	0.4080902571
270	0.407914126
271	0.4079105055
272	0.4078004191
273	0.4076674945
274	0.4075696242
275	0.4074089686
276	0.4071526395
277	0.4069698008
278	0.4068658547
279	0.4068175629
280	0.4067510246
281	0.4066303603
282	0.4064198392
283	0.4062413715
284	0.406055058
285	0.4055592874
286	0.4053373054
287	0.4051451917
288	0.4050808911
289	0.4049651692
290	0.4048482154
291	0.404645807
292	0.4044593528
293	0.4043626981
294	0.4041339844
295	0.4038894986
296	0.4037638623
297	0.4036682139
298	0.4034456326
299	0.403324847
300	0.4032491571
301	0.4031755822
302	0.403028618
303	0.402987986
304	0.4029444562
305	0.40283223
306	0.4026830984
307	0.4024987161
308	0.4022853445
309	0.4021782702
310	0.4020181835
311	0.4018517032
312	0.4018077106
313	0.4016826902
314	0.4015688174
315	0.4013885886
316	0.4012072958
317	0.4011159289
318	0.4009340423
319	0.4008206726
320	0.4006778267
321	0.4006220474
322	0.4004733999
323	0.400375239
324	0.4002396745
325	0.4001584285
326	0.4000669286
327	0.3999173253
328	0.3999061421
329	0.399766662
330	0.3997038711
331	0.3995760545
332	0.3994621371
333	0.3994593383
334	0.3993287127
335	0.3993259812
336	0.3992523693
337	0.3991425603
338	0.3989967034
339	0.3988754397
340	0.3987518791
341	0.3985767968
342	0.3984928401
343	0.3983898205
344	0.398350958
345	0.3979113441
346	0.3978765557
347	0.3977640265
348	0.3976256771
349	0.3975707235
350	0.3974748986
351	0.3974012111
352	0.3973461065
353	0.3972607625
354	0.3971059805
355	0.3970444346
356	0.3968331725
357	0.396765242
358	0.3966914097
359	0.396676256
360	0.3965558372
361	0.396491111
362	0.3964624384
363	0.3963662696
364	0.3963191803
365	0.3961843422
366	0.3960517383
367	0.3959919216
368	0.3959302016
369	0.3958197759
370	0.3956983557
371	0.3955230169
372	0.3953254464
373	0.3951482321
374	0.3950495098
375	0.3948967079
376	0.3947903515
377	0.394738633
378	0.3945793257
379	0.3944970804
380	0.3943587534
381	0.3942652753
382	0.3942127342
383	0.3941847508
384	0.3941409627
385	0.3940796626
386	0.3939492724
387	0.3938478546
388	0.39380113
389	0.3937990643
390	0.3937518494
391	0.3936194925
392	0.3935244258
393	0.3933777401
394	0.3932672
395	0.393161129
396	0.3930298767
397	0.3928855693
398	0.3928589958
399	0.3927448011
400	0.3925621528
401	0.392122236
402	0.3920267885
403	0.3920248638
404	0.3919741378
405	0.3917772169
406	0.3916978475
407	0.3915613392
408	0.3914494343
409	0.3914012217
410	0.391358648
411	0.3913119854
412	0.3912576585
413	0.3911598831
414	0.3910456117
415	0.3909184503
416	0.3906779144
417	0.3905641603
418	0.3905196494
419	0.3904275644
420	0.3902467454
421	0.3902088886
422	0.3900452382
423	0.3899240768
424	0.3898737345
425	0.3898169611
426	0.3896211875
427	0.3895610221
428	0.3895030698
429	0.389420571
430	0.3893375575
431	0.3891923243
432	0.3891097863
433	0.388647336
434	0.3885775987
435	0.3885295016
436	0.3884339067
437	0.3883109761
438	0.3882250536
439	0.3881496195
440	0.3880238468
441	0.387979761
442	0.387792508
443	0.38772184
444	0.3877201119
445	0.3875397902
446	0.3874536499
447	0.3873384023
448	0.3871848697
449	0.3871431905
450	0.3867173434
451	0.3866281402
452	0.3865105816
453	0.3864547426
454	0.3864176839
455	0.3863792367
456	0.3862531741
457	0.3861121043
458	0.3861104916
459	0.3860300007
460	0.3859644192
461	0.3858150542
462	0.3857377816
463	0.3856292991
464	0.3852984072
465	0.385204527
466	0.3851198114
467	0.3850206094
468	0.3849056389
469	0.3847809055
470	0.3847085891
471	0.3846301757
472	0.3846286142
473	0.384593577
474	0.3844775806
475	0.3843325881
476	0.384204113
477	0.3841136344
478	0.3840117219
479	0.3839626971
480	0.3839155671
481	0.3838740454
482	0.3838158423
483	0.38361892
484	0.3835133521
485	0.3833759135
486	0.3833372522
487	0.3832228995
488	0.3831728601
489	0.3831326442
490	0.3829932553
491	0.3829338409
492	0.3828831263
493	0.3827771493
494	0.3827203213
495	0.3826564745
496	0.3825252884
497	0.382421737
498	0.3822893547
499	0.3821318719
500	0.3820508644
501	0.3819711002
502	0.3818796275
503	0.3817929662
504	0.3817068063
505	0.3816043235
506	0.3814474486
507	0.3814113799
508	0.3812678064
509	0.3811459587
510	0.3810279137
511	0.3808979098
512	0.3807880149
513	0.380715796
514	0.3806144028
515	0.3805096375
516	0.3804679472
517	0.3803980041
518	0.3803271411
519	0.3802426958
520	0.3800995882
521	0.3800417634
522	0.3799736275
523	0.3798994865
524	0.3798105315
525	0.3796679053
526	0.3795456084
527	0.3794818435
528	0.3793819198
529	0.3792969737
530	0.3791344632
531	0.3790407989
532	0.3789779154
533	0.3789222824
534	0.3787746835
535	0.3787257378
536	0.3786736995
537	0.3786383351
538	0.3786080186
539	0.3784981202
540	0.3784642994
541	0.3780990873
542	0.3780629764
543	0.378012207
544	0.3779590867
545	0.3778657386
546	0.3777542689
547	0.3777133414
548	0.3775598908
549	0.3774321439
550	0.3774010845
551	0.3772470777
552	0.3772200624
553	0.3771033497
554	0.3769798087
555	0.3769024725
556	0.3768751242
557	0.3767759032
558	0.376711428
559	0.3766227655
560	0.3765385508
561	0.3764477218
562	0.3764221275
563	0.3763330854
564	0.3762750612
565	0.3761570617
566	0.3760978363
567	0.3760964959
568	0.3760534096
569	0.3759471959
570	0.3758091484
571	0.3757048286
572	0.3756112242
573	0.375500469
574	0.3754539141
575	0.3753986505
576	0.3753516591
577	0.3752382139
578	0.3751585741
579	0.375052097
580	0.3749943681
581	0.3749586752
582	0.3748675151
583	0.3748347845
584	0.3746978813
585	0.3746609565
586	0.3746166939
587	0.3745520943
588	0.3744880403
589	0.3744020997
590	0.3743805379
591	0.3742837707
592	0.3742291504
593	0.3741068069
594	0.3740402335
595	0.3739918916
596	0.3738552619
597	0.3737611574
598	0.3736775298
599	0.3735734111
600	0.3734586002
601	0.3733315661
602	0.3732721522
603	0.3731481008
604	0.3730630295
605	0.3729595848
606	0.3728674234
607	0.3728212766
608	0.3727805027
609	0.3727181773
610	0.3726448879
611	0.3726159071
612	0.372595057
613	0.3725064266
614	0.3724610731
615	0.3723678777
616	0.3723431143
617	0.3722492725
618	0.3722081316
619	0.3721758364
620	0.3720996935
621	0.3719745785
622	0.3719025035
623	0.3718299898
624	0.3716783787
625	0.3716067884
626	0.3715199095
627	0.3714504149
628	0.3713755404
629	0.3713292179
630	0.3712137128
631	0.3711042993
632	0.3709825158
633	0.3709067853
634	0.3707850773
635	0.3707297674
636	0.3706351145
637	0.3705585453
638	0.370537528
639	0.3703150941
640	0.3702116412
641	0.3701805375
642	0.3700941178
643	0.3700256292
644	0.369970244
645	0.3698951341
646	0.3698015635
647	0.3697143853
648	0.3696366233
649	0.3696352993
650	0.3695905191
651	0.3695892353
652	0.3695346614
653	0.3694594377
654	0.3693824004
655	0.3692751034
656	0.369193498
657	0.3691316792
658	0.3690305624
659	0.3689585115
660	0.3689572304
661	0.3689559841
662	0.3689410398
663	0.368910609
664	0.3688705359
665	0.368804113
666	0.3687266985
667	0.368675331
668	0.3685377027
669	0.3684427656
670	0.3683943694
671	0.3683395905
672	0.368281047
673	0.3682351621
674	0.36821415
675	0.3681540397
676	0.3681528429
677	0.3681044495
678	0.36805297
679	0.367848451
680	0.3677932622
681	0.367756866
682	0.3677120119
683	0.3676455199
684	0.3675617051
685	0.3675256584
686	0.3674197733
687	0.3674186123
688	0.3673445367
689	0.3673174514
690	0.3672382224
691	0.3671841145
692	0.3670877605
693	0.3670180166
694	0.3669452671
695	0.3668928714
696	0.3668139445
697	0.3667629668
698	0.3666885822
699	0.3665794631
700	0.3664874934
701	0.3664218823
702	0.3663615396
703	0.3663604073
704	0.3662544002
705	0.3661610754
706	0.3661165696
707	0.3660074761
708	0.3659448138
709	0.3658725526
710	0.3657759979
711	0.3657087152
712	0.3655969024
713	0.3655021987
714	0.3655011085
715	0.3653955359
716	0.3652881279
717	0.3652283493
718	0.365148065
719	0.365099264
720	0.3650352359
721	0.3648963211
722	0.3647948009
723	0.3647937238
724	0.3646975083
725	0.3646369173
726	0.3645401235
727	0.3645005632
728	0.3644716752
729	0.3643991248
730	0.3643111287
731	0.3642467737
732	0.3641669335
733	0.3641038805
734	0.3641028396
735	0.3640704089
736	0.3640077138
737	0.3639763696
738	0.3639128879
739	0.3638055616
740	0.3637232827
741	0.3636223954
742	0.3635360405
743	0.3634763554
744	0.3634483454
