iter	Passed	Remaining
0	11	11654
1	17	8855
2	24	8108
3	30	7629
4	36	7322
5	42	7119
6	48	6937
7	54	6783
8	64	7065
9	67	6658
10	73	6570
11	79	6562
12	86	6551
13	92	6485
14	98	6463
15	105	6475
16	112	6483
17	115	6309
18	125	6476
19	132	6479
20	135	6327
21	139	6202
22	146	6220
23	152	6212
24	155	6079
25	158	5956
26	163	5887
27	166	5773
28	169	5666
29	173	5611
30	176	5526
31	181	5482
32	184	5409
33	187	5339
34	191	5266
35	194	5207
36	197	5143
37	200	5077
38	203	5014
39	210	5054
40	217	5095
41	220	5039
42	230	5137
43	238	5173
44	244	5194
45	250	5202
46	253	5145
47	256	5094
48	263	5111
49	272	5177
50	275	5132
51	281	5137
52	289	5169
53	292	5118
54	298	5135
55	305	5144
56	311	5151
57	317	5151
58	324	5169
59	329	5165
60	332	5115
61	341	5160
62	344	5118
63	352	5162
64	355	5117
65	362	5127
66	366	5099
67	374	5137
68	379	5118
69	386	5133
70	395	5175
71	402	5186
72	406	5164
73	413	5174
74	425	5244
75	428	5206
76	434	5214
77	441	5214
78	446	5210
79	453	5215
80	459	5218
81	466	5222
82	473	5228
83	476	5194
84	479	5157
85	485	5160
86	491	5158
87	497	5160
88	501	5132
89	504	5104
90	507	5073
91	512	5056
92	516	5040
93	520	5011
94	525	5003
95	528	4978
96	532	4954
97	535	4927
98	542	4936
99	546	4918
100	554	4939
101	558	4919
102	562	4896
103	565	4873
104	571	4873
105	578	4878
106	585	4889
107	592	4894
108	596	4877
109	607	4918
110	613	4913
111	620	4921
112	623	4897
113	630	4904
114	636	4899
115	639	4875
116	642	4850
117	645	4827
118	648	4804
119	652	4781
120	654	4752
121	657	4732
122	660	4711
123	663	4687
124	666	4667
125	669	4646
126	673	4626
127	675	4604
128	679	4587
129	682	4566
130	685	4548
131	688	4528
132	691	4509
133	695	4491
134	698	4473
135	701	4454
136	704	4440
137	708	4424
138	712	4415
139	717	4405
140	723	4407
141	728	4400
142	735	4405
143	740	4399
144	747	4405
145	753	4405
146	759	4404
147	764	4401
148	770	4399
149	774	4390
150	780	4387
151	786	4387
152	789	4373
153	796	4377
154	801	4371
155	807	4370
156	813	4370
157	819	4365
158	823	4353
159	826	4339
160	830	4329
161	833	4313
162	837	4301
163	841	4290
164	845	4276
165	848	4265
166	852	4253
167	856	4242
168	859	4226
169	863	4216
170	867	4203
171	871	4193
172	876	4189
173	879	4175
174	884	4167
175	887	4156
176	892	4148
177	895	4135
178	906	4159
179	914	4165
180	919	4160
181	928	4171
182	933	4166
183	937	4158
184	940	4142
185	944	4133
186	948	4122
187	951	4111
188	956	4104
189	960	4096
190	964	4083
191	967	4072
192	971	4060
193	974	4048
194	978	4038
195	981	4024
196	984	4012
197	987	4001
198	990	3988
199	994	3979
200	997	3966
201	1001	3956
202	1004	3943
203	1007	3931
204	1011	3923
205	1014	3910
206	1018	3902
207	1021	3890
208	1025	3880
209	1029	3873
210	1032	3862
211	1036	3853
212	1039	3842
213	1043	3833
214	1046	3822
215	1049	3809
216	1053	3801
217	1056	3790
218	1059	3780
219	1063	3771
220	1067	3762
221	1070	3752
222	1073	3742
223	1077	3732
224	1082	3728
225	1085	3717
226	1088	3708
227	1093	3701
228	1096	3691
229	1099	3681
230	1115	3713
231	1126	3728
232	1137	3745
233	1146	3752
234	1153	3755
235	1164	3769
236	1174	3779
237	1185	3795
238	1192	3798
239	1206	3819
240	1220	3844
241	1230	3855
242	1240	3865
243	1251	3876
244	1260	3883
245	1269	3890
246	1279	3899
247	1285	3897
248	1293	3900
249	1299	3897
250	1306	3899
251	1311	3892
252	1319	3895
253	1325	3891
254	1332	3893
255	1338	3890
256	1344	3887
257	1352	3889
258	1358	3885
259	1365	3887
260	1373	3887
261	1379	3885
262	1385	3882
263	1391	3880
264	1397	3877
265	1403	3872
266	1410	3871
267	1416	3869
268	1423	3867
269	1430	3868
270	1437	3866
271	1443	3863
272	1449	3860
273	1455	3857
274	1462	3854
275	1468	3852
276	1476	3854
277	1483	3853
278	1489	3848
279	1496	3848
280	1501	3841
281	1506	3835
282	1514	3836
283	1521	3834
284	1525	3827
285	1533	3828
286	1538	3822
287	1547	3826
288	1558	3834
289	1569	3841
290	1578	3845
291	1588	3850
292	1598	3857
293	1604	3853
294	1616	3863
295	1625	3864
296	1637	3876
297	1643	3871
298	1655	3881
299	1666	3888
300	1671	3880
