Year,Location,Value,District
2024,Stadt München,5914,00
2024,Altstadt - Lehel,0,01
2024,Ludwigsvorstadt - Isarvorstadt,95,02
2024,Maxvorstadt,53,03
2024,Schwabing - West,224,04
2024,Au - Haidhausen,318,05
2024,Sendling,212,06
2024,Sendling - Westpark,9,07
2024,Schwanthalerhöhe,3,08
2024,Neuhausen - Nymphenburg,35,09
2024,Moosach,17,10
2024,Milbertshofen - Am Hart,60,11
2024,Schwabing - Freimann,215,12
2024,Bogenhausen,275,13
2024,Berg am Laim,51,14
2024,Trudering - Riem,311,15
2024,Ramersdorf - Perlach,378,16
2024,Obergiesing - Fasangarten,40,17
2024,Untergiesing - Harlaching,123,18
2024,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,1062,19
2024,Hadern,317,20
2024,Pasing - Obermenzing,874,21
2024,Aubing - Lochhausen - Langwied,745,22
2024,Allach - Untermenzing,185,23
2024,Feldmoching - Hasenbergl,174,24
2024,Laim,138,25
2023,Stadt München,9059,00
2023,Altstadt - Lehel,39,01
2023,Ludwigsvorstadt - Isarvorstadt,95,02
2023,Maxvorstadt,258,03
2023,Schwabing - West,198,04
2023,Au - Haidhausen,393,05
2023,Sendling,199,06
2023,Sendling - Westpark,318,07
2023,Schwanthalerhöhe,28,08
2023,Neuhausen - Nymphenburg,968,09
2023,Moosach,326,10
2023,Milbertshofen - Am Hart,171,11
2023,Schwabing - Freimann,317,12
2023,Bogenhausen,413,13
2023,Berg am Laim,570,14
2023,Trudering - Riem,346,15
2023,Ramersdorf - Perlach,498,16
2023,Obergiesing - Fasangarten,138,17
2023,Untergiesing - Harlaching,163,18
2023,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,675,19
2023,Hadern,393,20
2023,Pasing - Obermenzing,545,21
2023,Aubing - Lochhausen - Langwied,1105,22
2023,Allach - Untermenzing,178,23
2023,Feldmoching - Hasenbergl,472,24
2023,Laim,253,25
2022,Stadt München,6464,00
2022,Altstadt - Lehel,0,01
2022,Ludwigsvorstadt - Isarvorstadt,15,02
2022,Maxvorstadt,285,03
2022,Schwabing - West,93,04
2022,Au - Haidhausen,222,05
2022,Sendling,0,06
2022,Sendling - Westpark,321,07
2022,Schwanthalerhöhe,21,08
2022,Neuhausen - Nymphenburg,378,09
2022,Moosach,54,10
2022,Milbertshofen - Am Hart,63,11
2022,Schwabing - Freimann,100,12
2022,Bogenhausen,204,13
2022,Berg am Laim,181,14
2022,Trudering - Riem,436,15
2022,Ramersdorf - Perlach,592,16
2022,Obergiesing - Fasangarten,151,17
2022,Untergiesing - Harlaching,301,18
2022,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,683,19
2022,Hadern,108,20
2022,Pasing - Obermenzing,602,21
2022,Aubing - Lochhausen - Langwied,1047,22
2022,Allach - Untermenzing,328,23
2022,Feldmoching - Hasenbergl,115,24
2022,Laim,164,25
2021,Stadt München,6489,00
2021,Altstadt - Lehel,14,01
2021,Ludwigsvorstadt - Isarvorstadt,12,02
2021,Maxvorstadt,47,03
2021,Schwabing - West,38,04
2021,Au - Haidhausen,139,05
2021,Sendling,115,06
2021,Sendling - Westpark,107,07
2021,Schwanthalerhöhe,5,08
2021,Neuhausen - Nymphenburg,123,09
2021,Moosach,197,10
2021,Milbertshofen - Am Hart,660,11
2021,Schwabing - Freimann,123,12
2021,Bogenhausen,651,13
2021,Berg am Laim,101,14
2021,Trudering - Riem,677,15
2021,Ramersdorf - Perlach,277,16
2021,Obergiesing - Fasangarten,298,17
2021,Untergiesing - Harlaching,391,18
2021,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,529,19
2021,Hadern,126,20
2021,Pasing - Obermenzing,695,21
2021,Aubing - Lochhausen - Langwied,413,22
2021,Allach - Untermenzing,467,23
2021,Feldmoching - Hasenbergl,256,24
2021,Laim,28,25
2020,Stadt München,7357,00
2020,Altstadt - Lehel,0,01
2020,Ludwigsvorstadt - Isarvorstadt,67,02
2020,Maxvorstadt,96,03
2020,Schwabing - West,68,04
2020,Au - Haidhausen,674,05
2020,Sendling,97,06
2020,Sendling - Westpark,306,07
2020,Schwanthalerhöhe,0,08
2020,Neuhausen - Nymphenburg,131,09
2020,Moosach,562,10
2020,Milbertshofen - Am Hart,188,11
2020,Schwabing - Freimann,449,12
2020,Bogenhausen,738,13
2020,Berg am Laim,27,14
2020,Trudering - Riem,491,15
2020,Ramersdorf - Perlach,403,16
2020,Obergiesing - Fasangarten,32,17
2020,Untergiesing - Harlaching,134,18
2020,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,609,19
2020,Hadern,51,20
2020,Pasing - Obermenzing,1090,21
2020,Aubing - Lochhausen - Langwied,586,22
2020,Allach - Untermenzing,91,23
2020,Feldmoching - Hasenbergl,418,24
2020,Laim,49,25
2019,Stadt München,6313,00
2019,Altstadt - Lehel,5,01
2019,Ludwigsvorstadt - Isarvorstadt,27,02
2019,Maxvorstadt,207,03
2019,Schwabing - West,244,04
2019,Au - Haidhausen,56,05
2019,Sendling,63,06
2019,Sendling - Westpark,202,07
2019,Schwanthalerhöhe,58,08
2019,Neuhausen - Nymphenburg,373,09
2019,Moosach,28,10
2019,Milbertshofen - Am Hart,515,11
2019,Schwabing - Freimann,143,12
2019,Bogenhausen,1031,13
2019,Berg am Laim,57,14
2019,Trudering - Riem,250,15
2019,Ramersdorf - Perlach,718,16
2019,Obergiesing - Fasangarten,160,17
2019,Untergiesing - Harlaching,66,18
2019,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,502,19
2019,Hadern,97,20
2019,Pasing - Obermenzing,471,21
2019,Aubing - Lochhausen - Langwied,352,22
2019,Allach - Untermenzing,368,23
2019,Feldmoching - Hasenbergl,97,24
2019,Laim,223,25
2018,Stadt München,7390,00
2018,Altstadt - Lehel,42,01
2018,Ludwigsvorstadt - Isarvorstadt,143,02
2018,Maxvorstadt,85,03
2018,Schwabing - West,2,04
2018,Au - Haidhausen,99,05
2018,Sendling,113,06
2018,Sendling - Westpark,110,07
2018,Schwanthalerhöhe,0,08
2018,Neuhausen - Nymphenburg,280,09
2018,Moosach,527,10
2018,Milbertshofen - Am Hart,305,11
2018,Schwabing - Freimann,536,12
2018,Bogenhausen,719,13
2018,Berg am Laim,180,14
2018,Trudering - Riem,771,15
2018,Ramersdorf - Perlach,1202,16
2018,Obergiesing - Fasangarten,191,17
2018,Untergiesing - Harlaching,58,18
2018,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,478,19
2018,Hadern,200,20
2018,Pasing - Obermenzing,234,21
2018,Aubing - Lochhausen - Langwied,658,22
2018,Allach - Untermenzing,239,23
2018,Feldmoching - Hasenbergl,183,24
2018,Laim,35,25
2017,Stadt München,7708,00
2017,Altstadt - Lehel,23,01
2017,Ludwigsvorstadt - Isarvorstadt,29,02
2017,Maxvorstadt,95,03
2017,Schwabing - West,73,04
2017,Au - Haidhausen,265,05
2017,Sendling,320,06
2017,Sendling - Westpark,357,07
2017,Schwanthalerhöhe,26,08
2017,Neuhausen - Nymphenburg,209,09
2017,Moosach,301,10
2017,Milbertshofen - Am Hart,262,11
2017,Schwabing - Freimann,815,12
2017,Bogenhausen,476,13
2017,Berg am Laim,92,14
2017,Trudering - Riem,763,15
2017,Ramersdorf - Perlach,592,16
2017,Obergiesing - Fasangarten,234,17
2017,Untergiesing - Harlaching,206,18
2017,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,508,19
2017,Hadern,136,20
2017,Pasing - Obermenzing,602,21
2017,Aubing - Lochhausen - Langwied,710,22
2017,Allach - Untermenzing,194,23
2017,Feldmoching - Hasenbergl,310,24
2017,Laim,110,25
2016,Stadt München,7278,00
2016,Altstadt - Lehel,134,01
2016,Ludwigsvorstadt - Isarvorstadt,379,02
2016,Maxvorstadt,62,03
2016,Schwabing - West,346,04
2016,Au - Haidhausen,17,05
2016,Sendling,259,06
2016,Sendling - Westpark,303,07
2016,Schwanthalerhöhe,0,08
2016,Neuhausen - Nymphenburg,355,09
2016,Moosach,363,10
2016,Milbertshofen - Am Hart,602,11
2016,Schwabing - Freimann,549,12
2016,Bogenhausen,521,13
2016,Berg am Laim,153,14
2016,Trudering - Riem,436,15
2016,Ramersdorf - Perlach,458,16
2016,Obergiesing - Fasangarten,129,17
2016,Untergiesing - Harlaching,89,18
2016,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,212,19
2016,Hadern,138,20
2016,Pasing - Obermenzing,705,21
2016,Aubing - Lochhausen - Langwied,504,22
2016,Allach - Untermenzing,186,23
2016,Feldmoching - Hasenbergl,221,24
2016,Laim,157,25
2015,Stadt München,5875,00
2015,Altstadt - Lehel,0,01
2015,Ludwigsvorstadt - Isarvorstadt,89,02
2015,Maxvorstadt,63,03
2015,Schwabing - West,420,04
2015,Au - Haidhausen,111,05
2015,Sendling,116,06
2015,Sendling - Westpark,321,07
2015,Schwanthalerhöhe,18,08
2015,Neuhausen - Nymphenburg,371,09
2015,Moosach,160,10
2015,Milbertshofen - Am Hart,199,11
2015,Schwabing - Freimann,344,12
2015,Bogenhausen,208,13
2015,Berg am Laim,185,14
2015,Trudering - Riem,429,15
2015,Ramersdorf - Perlach,1053,16
2015,Obergiesing - Fasangarten,252,17
2015,Untergiesing - Harlaching,70,18
2015,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,278,19
2015,Hadern,116,20
2015,Pasing - Obermenzing,335,21
2015,Aubing - Lochhausen - Langwied,305,22
2015,Allach - Untermenzing,130,23
2015,Feldmoching - Hasenbergl,171,24
2015,Laim,131,25
2014,Stadt München,6648,00
2014,Altstadt - Lehel,16,01
2014,Ludwigsvorstadt - Isarvorstadt,61,02
2014,Maxvorstadt,177,03
2014,Schwabing - West,222,04
2014,Au - Haidhausen,225,05
2014,Sendling,104,06
2014,Sendling - Westpark,788,07
2014,Schwanthalerhöhe,25,08
2014,Neuhausen - Nymphenburg,172,09
2014,Moosach,187,10
2014,Milbertshofen - Am Hart,450,11
2014,Schwabing - Freimann,452,12
2014,Bogenhausen,234,13
2014,Berg am Laim,245,14
2014,Trudering - Riem,567,15
2014,Ramersdorf - Perlach,371,16
2014,Obergiesing - Fasangarten,519,17
2014,Untergiesing - Harlaching,91,18
2014,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,684,19
2014,Hadern,230,20
2014,Pasing - Obermenzing,241,21
2014,Aubing - Lochhausen - Langwied,170,22
2014,Allach - Untermenzing,180,23
2014,Feldmoching - Hasenbergl,166,24
2014,Laim,71,25
2013,Stadt München,7058,00
2013,Altstadt - Lehel,0,01
2013,Ludwigsvorstadt - Isarvorstadt,63,02
2013,Maxvorstadt,213,03
2013,Schwabing - West,306,04
2013,Au - Haidhausen,27,05
2013,Sendling,39,06
2013,Sendling - Westpark,240,07
2013,Schwanthalerhöhe,45,08
2013,Neuhausen - Nymphenburg,484,09
2013,Moosach,282,10
2013,Milbertshofen - Am Hart,166,11
2013,Schwabing - Freimann,970,12
2013,Bogenhausen,416,13
2013,Berg am Laim,118,14
2013,Trudering - Riem,325,15
2013,Ramersdorf - Perlach,422,16
2013,Obergiesing - Fasangarten,343,17
2013,Untergiesing - Harlaching,80,18
2013,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,1074,19
2013,Hadern,263,20
2013,Pasing - Obermenzing,394,21
2013,Aubing - Lochhausen - Langwied,256,22
2013,Allach - Untermenzing,114,23
2013,Feldmoching - Hasenbergl,349,24
2013,Laim,69,25
