Year,Location,Value,District
2024,Stadt München,"69,9",00
2024,Altstadt - Lehel,"73,8",01
2024,Ludwigsvorstadt - Isarvorstadt,"78,2",02
2024,Maxvorstadt,"79,2",03
2024,Schwabing - West,"72,7",04
2024,Au - Haidhausen,"73,5",05
2024,Sendling,74,06
2024,Sendling - Westpark,"69,8",07
2024,Schwanthalerhöhe,"76,1",08
2024,Neuhausen - Nymphenburg,"70,5",09
2024,Moosach,"68,8",10
2024,Milbertshofen - Am Hart,72,11
2024,Schwabing - Freimann,"71,8",12
2024,Bogenhausen,"66,4",13
2024,Berg am Laim,"69,5",14
2024,Trudering - Riem,"68,5",15
2024,Ramersdorf - Perlach,"66,2",16
2024,Obergiesing - Fasangarten,"72,8",17
2024,Untergiesing - Harlaching,"69,4",18
2024,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"67,1",19
2024,Hadern,"66,4",20
2024,Pasing - Obermenzing,"66,9",21
2024,Aubing - Lochhausen - Langwied,66,22
2024,Allach - Untermenzing,"66,4",23
2024,Feldmoching - Hasenbergl,"67,1",24
2024,Laim,"70,7",25
2023,Stadt München,"69,8",00
2023,Altstadt - Lehel,"73,7",01
2023,Ludwigsvorstadt - Isarvorstadt,"78,2",02
2023,Maxvorstadt,79,03
2023,Schwabing - West,"72,5",04
2023,Au - Haidhausen,"73,5",05
2023,Sendling,"74,2",06
2023,Sendling - Westpark,"69,6",07
2023,Schwanthalerhöhe,"75,9",08
2023,Neuhausen - Nymphenburg,"70,5",09
2023,Moosach,"68,8",10
2023,Milbertshofen - Am Hart,"71,8",11
2023,Schwabing - Freimann,"71,6",12
2023,Bogenhausen,"66,3",13
2023,Berg am Laim,"69,4",14
2023,Trudering - Riem,"68,1",15
2023,Ramersdorf - Perlach,"66,1",16
2023,Obergiesing - Fasangarten,"72,8",17
2023,Untergiesing - Harlaching,"69,4",18
2023,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"66,8",19
2023,Hadern,"66,2",20
2023,Pasing - Obermenzing,"66,8",21
2023,Aubing - Lochhausen - Langwied,"65,9",22
2023,Allach - Untermenzing,"66,1",23
2023,Feldmoching - Hasenbergl,"66,8",24
2023,Laim,"70,6",25
2022,Stadt München,"69,7",00
2022,Altstadt - Lehel,"73,5",01
2022,Ludwigsvorstadt - Isarvorstadt,"78,1",02
2022,Maxvorstadt,"79,1",03
2022,Schwabing - West,"72,3",04
2022,Au - Haidhausen,"73,4",05
2022,Sendling,"74,2",06
2022,Sendling - Westpark,"69,3",07
2022,Schwanthalerhöhe,"75,6",08
2022,Neuhausen - Nymphenburg,"70,4",09
2022,Moosach,"68,8",10
2022,Milbertshofen - Am Hart,"71,9",11
2022,Schwabing - Freimann,"71,6",12
2022,Bogenhausen,"66,2",13
2022,Berg am Laim,"69,3",14
2022,Trudering - Riem,68,15
2022,Ramersdorf - Perlach,66,16
2022,Obergiesing - Fasangarten,"72,7",17
2022,Untergiesing - Harlaching,"69,3",18
2022,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"66,5",19
2022,Hadern,"65,9",20
2022,Pasing - Obermenzing,"66,6",21
2022,Aubing - Lochhausen - Langwied,"65,7",22
2022,Allach - Untermenzing,"65,8",23
2022,Feldmoching - Hasenbergl,"66,8",24
2022,Laim,"70,3",25
2021,Stadt München,"69,7",00
2021,Altstadt - Lehel,"73,5",01
2021,Ludwigsvorstadt - Isarvorstadt,"78,2",02
2021,Maxvorstadt,"79,2",03
2021,Schwabing - West,"72,1",04
2021,Au - Haidhausen,"73,6",05
2021,Sendling,74,06
2021,Sendling - Westpark,"69,3",07
2021,Schwanthalerhöhe,"75,5",08
2021,Neuhausen - Nymphenburg,"70,4",09
2021,Moosach,"68,7",10
2021,Milbertshofen - Am Hart,"71,8",11
2021,Schwabing - Freimann,"71,9",12
2021,Bogenhausen,"66,1",13
2021,Berg am Laim,"69,4",14
2021,Trudering - Riem,"67,9",15
2021,Ramersdorf - Perlach,66,16
2021,Obergiesing - Fasangarten,"72,6",17
2021,Untergiesing - Harlaching,"69,3",18
2021,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"66,3",19
2021,Hadern,"65,8",20
2021,Pasing - Obermenzing,"66,4",21
2021,Aubing - Lochhausen - Langwied,"65,4",22
2021,Allach - Untermenzing,"65,9",23
2021,Feldmoching - Hasenbergl,"66,8",24
2021,Laim,70,25
2020,Stadt München,"69,7",00
2020,Altstadt - Lehel,"73,3",01
2020,Ludwigsvorstadt - Isarvorstadt,"78,3",02
2020,Maxvorstadt,"79,2",03
