Year,Location,Population,District
2024,Stadt München,"41,3",00
2024,Altstadt - Lehel,"41,7",01
2024,Ludwigsvorstadt - Isarvorstadt,"39,8",02
2024,Maxvorstadt,"38,5",03
2024,Schwabing - West,"41,3",04
2024,Au - Haidhausen,"40,7",05
2024,Sendling,"41,1",06
2024,Sendling - Westpark,"41,6",07
2024,Schwanthalerhöhe,"40,5",08
2024,Neuhausen - Nymphenburg,"41,4",09
2024,Moosach,"41,6",10
2024,Milbertshofen - Am Hart,"39,8",11
2024,Schwabing - Freimann,"40,4",12
2024,Bogenhausen,"42,4",13
2024,Berg am Laim,"41,5",14
2024,Trudering - Riem,"41,2",15
2024,Ramersdorf - Perlach,"42,1",16
2024,Obergiesing - Fasangarten,"41,1",17
2024,Untergiesing - Harlaching,"43,3",18
2024,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"42,5",19
2024,Hadern,43,20
2024,Pasing - Obermenzing,"41,9",21
2024,Aubing - Lochhausen - Langwied,"38,9",22
2024,Allach - Untermenzing,"41,5",23
2024,Feldmoching - Hasenbergl,"41,5",24
2024,Laim,"42,3",25
2023,Stadt München,"41,3",00
2023,Altstadt - Lehel,"41,6",01
2023,Ludwigsvorstadt - Isarvorstadt,"39,6",02
2023,Maxvorstadt,"38,6",03
2023,Schwabing - West,"41,2",04
2023,Au - Haidhausen,"40,5",05
2023,Sendling,41,06
2023,Sendling - Westpark,"41,5",07
2023,Schwanthalerhöhe,"40,2",08
2023,Neuhausen - Nymphenburg,"41,5",09
2023,Moosach,"41,5",10
2023,Milbertshofen - Am Hart,"39,7",11
2023,Schwabing - Freimann,"40,2",12
2023,Bogenhausen,"42,3",13
2023,Berg am Laim,"41,4",14
2023,Trudering - Riem,"40,9",15
2023,Ramersdorf - Perlach,42,16
2023,Obergiesing - Fasangarten,41,17
2023,Untergiesing - Harlaching,"43,2",18
2023,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"42,5",19
2023,Hadern,43,20
2023,Pasing - Obermenzing,"41,8",21
2023,Aubing - Lochhausen - Langwied,"39,5",22
2023,Allach - Untermenzing,"41,3",23
2023,Feldmoching - Hasenbergl,"41,5",24
2023,Laim,"42,3",25
2022,Stadt München,"41,2",00
2022,Altstadt - Lehel,"41,6",01
2022,Ludwigsvorstadt - Isarvorstadt,"39,4",02
2022,Maxvorstadt,"38,5",03
2022,Schwabing - West,"41,2",04
2022,Au - Haidhausen,"40,4",05
2022,Sendling,"40,8",06
2022,Sendling - Westpark,"41,4",07
2022,Schwanthalerhöhe,"39,9",08
2022,Neuhausen - Nymphenburg,"41,4",09
2022,Moosach,"41,5",10
2022,Milbertshofen - Am Hart,"39,7",11
2022,Schwabing - Freimann,"39,7",12
2022,Bogenhausen,"42,2",13
2022,Berg am Laim,"41,3",14
2022,Trudering - Riem,"40,6",15
2022,Ramersdorf - Perlach,42,16
2022,Obergiesing - Fasangarten,"40,9",17
2022,Untergiesing - Harlaching,43,18
2022,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"42,7",19
2022,Hadern,"42,9",20
2022,Pasing - Obermenzing,"41,9",21
2022,Aubing - Lochhausen - Langwied,"40,1",22
2022,Allach - Untermenzing,"41,2",23
2022,Feldmoching - Hasenbergl,"41,5",24
2022,Laim,"42,2",25
2021,Stadt München,"41,3",00
2021,Altstadt - Lehel,"41,7",01
2021,Ludwigsvorstadt - Isarvorstadt,"39,5",02
2021,Maxvorstadt,"38,7",03
2021,Schwabing - West,"41,1",04
2021,Au - Haidhausen,"40,4",05
2021,Sendling,"40,7",06
2021,Sendling - Westpark,"41,6",07
2021,Schwanthalerhöhe,"39,8",08
2021,Neuhausen - Nymphenburg,"41,4",09
2021,Moosach,"41,6",10
2021,Milbertshofen - Am Hart,"39,8",11
2021,Schwabing - Freimann,"39,8",12
2021,Bogenhausen,"42,4",13
2021,Berg am Laim,"41,2",14
2021,Trudering - Riem,"40,5",15
2021,Ramersdorf - Perlach,"42,1",16
2021,Obergiesing - Fasangarten,"40,8",17
2021,Untergiesing - Harlaching,"43,2",18
2021,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"42,8",19
2021,Hadern,"43,3",20
2021,Pasing - Obermenzing,"42,1",21
2021,Aubing - Lochhausen - Langwied,"40,7",22
2021,Allach - Untermenzing,"41,7",23
2021,Feldmoching - Hasenbergl,"41,6",24
2021,Laim,"42,3",25
2020,Stadt München,"41,4",00
2020,Altstadt - Lehel,"41,8",01
2020,Ludwigsvorstadt - Isarvorstadt,"39,4",02
2020,Maxvorstadt,"38,8",03
2020,Schwabing - West,"41,1",04
2020,Au - Haidhausen,"40,5",05
2020,Sendling,"40,7",06
