Year,Location,Overall Population,District
2024,Stadt München,1603776,00
2024,Altstadt - Lehel,20876,01
2024,Ludwigsvorstadt - Isarvorstadt,50081,02
2024,Maxvorstadt,52434,03
2024,Schwabing - West,68610,04
2024,Au - Haidhausen,63972,05
2024,Sendling,41002,06
2024,Sendling - Westpark,62240,07
2024,Schwanthalerhöhe,28684,08
2024,Neuhausen - Nymphenburg,101901,09
2024,Moosach,56015,10
2024,Milbertshofen - Am Hart,77281,11
2024,Schwabing - Freimann,77092,12
2024,Bogenhausen,95475,13
2024,Berg am Laim,47367,14
2024,Trudering - Riem,76280,15
2024,Ramersdorf - Perlach,120776,16
2024,Obergiesing - Fasangarten,54352,17
2024,Untergiesing - Harlaching,54067,18
2024,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,103717,19
2024,Hadern,51637,20
2024,Pasing - Obermenzing,81804,21
2024,Aubing - Lochhausen - Langwied,61011,22
2024,Allach - Untermenzing,36230,23
2024,Feldmoching - Hasenbergl,63756,24
2024,Laim,57116,25
2023,Stadt München,1589026,00
2023,Altstadt - Lehel,20860,01
2023,Ludwigsvorstadt - Isarvorstadt,49876,02
2023,Maxvorstadt,51945,03
2023,Schwabing - West,68254,04
2023,Au - Haidhausen,63583,05
2023,Sendling,40790,06
2023,Sendling - Westpark,62065,07
2023,Schwanthalerhöhe,28732,08
2023,Neuhausen - Nymphenburg,100396,09
2023,Moosach,55851,10
2023,Milbertshofen - Am Hart,76971,11
2023,Schwabing - Freimann,76986,12
2023,Bogenhausen,94337,13
2023,Berg am Laim,47037,14
2023,Trudering - Riem,75728,15
2023,Ramersdorf - Perlach,120085,16
2023,Obergiesing - Fasangarten,53795,17
2023,Untergiesing - Harlaching,53909,18
2023,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,101992,19
2023,Hadern,51446,20
2023,Pasing - Obermenzing,81246,21
2023,Aubing - Lochhausen - Langwied,57502,22
2023,Allach - Untermenzing,35918,23
2023,Feldmoching - Hasenbergl,63006,24
2023,Laim,56716,25
2022,Stadt München,1588330,00
2022,Altstadt - Lehel,20808,01
2022,Ludwigsvorstadt - Isarvorstadt,50915,02
2022,Maxvorstadt,52269,03
2022,Schwabing - West,68603,04
2022,Au - Haidhausen,63383,05
2022,Sendling,41011,06
2022,Sendling - Westpark,61702,07
2022,Schwanthalerhöhe,28986,08
2022,Neuhausen - Nymphenburg,100495,09
2022,Moosach,55761,10
2022,Milbertshofen - Am Hart,77002,11
2022,Schwabing - Freimann,79092,12
2022,Bogenhausen,94317,13
2022,Berg am Laim,47148,14
2022,Trudering - Riem,75998,15
2022,Ramersdorf - Perlach,119572,16
2022,Obergiesing - Fasangarten,53964,17
2022,Untergiesing - Harlaching,54068,18
2022,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,101087,19
2022,Hadern,51239,20
2022,Pasing - Obermenzing,80309,21
2022,Aubing - Lochhausen - Langwied,54619,22
2022,Allach - Untermenzing,36017,23
2022,Feldmoching - Hasenbergl,63110,24
2022,Laim,56855,25
2021,Stadt München,1562128,00
2021,Altstadt - Lehel,20626,01
2021,Ludwigsvorstadt - Isarvorstadt,50943,02
2021,Maxvorstadt,51228,03
2021,Schwabing - West,68255,04
2021,Au - Haidhausen,62315,05
2021,Sendling,40704,06
2021,Sendling - Westpark,60540,07
2021,Schwanthalerhöhe,28870,08
2021,Neuhausen - Nymphenburg,99415,09
2021,Moosach,54928,10
2021,Milbertshofen - Am Hart,75658,11
2021,Schwabing - Freimann,77701,12
2021,Bogenhausen,92593,13
2021,Berg am Laim,46769,14
2021,Trudering - Riem,74884,15
2021,Ramersdorf - Perlach,118010,16
2021,Obergiesing - Fasangarten,53483,17
2021,Untergiesing - Harlaching,52999,18
2021,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,99260,19
2021,Hadern,50290,20
2021,Pasing - Obermenzing,78232,21
2021,Aubing - Lochhausen - Langwied,51786,22
2021,Allach - Untermenzing,34566,23
2021,Feldmoching - Hasenbergl,62192,24
2021,Laim,55881,25
2020,Stadt München,1562096,00
2020,Altstadt - Lehel,20960,01
2020,Ludwigsvorstadt - Isarvorstadt,51547,02
2020,Maxvorstadt,51530,03
2020,Schwabing - West,68750,04
2020,Au - Haidhausen,62353,05
2020,Sendling,40916,06
2020,Sendling - Westpark,60468,07
2020,Schwanthalerhöhe,29328,08
2020,Neuhausen - Nymphenburg,99704,09
2020,Moosach,54934,10
2020,Milbertshofen - Am Hart,75999,11
2020,Schwabing - Freimann,78881,12
2020,Bogenhausen,91855,13
2020,Berg am Laim,46915,14
2020,Trudering - Riem,74456,15
2020,Ramersdorf - Perlach,118147,16
2020,Obergiesing - Fasangarten,53897,17
2020,Untergiesing - Harlaching,52940,18
2020,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,98596,19
2020,Hadern,49770,20
2020,Pasing - Obermenzing,77301,21
2020,Aubing - Lochhausen - Langwied,50140,22
2020,Allach - Untermenzing,33710,23
2020,Feldmoching - Hasenbergl,62270,24
2020,Laim,56729,25
2019,Stadt München,1560042,00
2019,Altstadt - Lehel,21126,01
2019,Ludwigsvorstadt - Isarvorstadt,51933,02
2019,Maxvorstadt,51834,03
2019,Schwabing - West,68935,04
2019,Au - Haidhausen,61654,05
2019,Sendling,41256,06
2019,Sendling - Westpark,60498,07
2019,Schwanthalerhöhe,29611,08
2019,Neuhausen - Nymphenburg,100213,09
2019,Moosach,54872,10
2019,Milbertshofen - Am Hart,76559,11
2019,Schwabing - Freimann,78657,12
