Year,Location,Population,District
2024,Stadt München,246486.0,00
2024,Altstadt - Lehel,2467.0,01
2024,Ludwigsvorstadt - Isarvorstadt,5645.0,02
2024,Maxvorstadt,5349.0,03
2024,Schwabing - West,8425.0,04
2024,Au - Haidhausen,9037.0,05
2024,Sendling,5374.0,06
2024,Sendling - Westpark,9218.0,07
2024,Schwanthalerhöhe,3763.0,08
2024,Neuhausen - Nymphenburg,15108.0,09
2024,Moosach,8720.0,10
2024,Milbertshofen - Am Hart,11554.0,11
2024,Schwabing - Freimann,11132.0,12
2024,Bogenhausen,16055.0,13
2024,Berg am Laim,7566.0,14
2024,Trudering - Riem,14468.0,15
2024,Ramersdorf - Perlach,20620.0,16
2024,Obergiesing - Fasangarten,7516.0,17
2024,Untergiesing - Harlaching,7569.0,18
2024,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,16377.0,19
2024,Hadern,7796.0,20
2024,Pasing - Obermenzing,14192.0,21
2024,Aubing - Lochhausen - Langwied,12807.0,22
2024,Allach - Untermenzing,6857.0,23
2024,Feldmoching - Hasenbergl,11459.0,24
2024,Laim,7412.0,25
2023,Stadt München,246396.0,00
2023,Altstadt - Lehel,2508.0,01
2023,Ludwigsvorstadt - Isarvorstadt,5800.0,02
2023,Maxvorstadt,5301.0,03
2023,Schwabing - West,8565.0,04
2023,Au - Haidhausen,9024.0,05
2023,Sendling,5350.0,06
2023,Sendling - Westpark,9329.0,07
2023,Schwanthalerhöhe,3849.0,08
2023,Neuhausen - Nymphenburg,14854.0,09
2023,Moosach,8755.0,10
2023,Milbertshofen - Am Hart,11702.0,11
2023,Schwabing - Freimann,11456.0,12
2023,Bogenhausen,15905.0,13
2023,Berg am Laim,7609.0,14
2023,Trudering - Riem,14768.0,15
2023,Ramersdorf - Perlach,20830.0,16
2023,Obergiesing - Fasangarten,7442.0,17
2023,Untergiesing - Harlaching,7539.0,18
2023,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,16248.0,19
2023,Hadern,7829.0,20
2023,Pasing - Obermenzing,14294.0,21
2023,Aubing - Lochhausen - Langwied,11638.0,22
2023,Allach - Untermenzing,6910.0,23
2023,Feldmoching - Hasenbergl,11423.0,24
2023,Laim,7468.0,25
2022,Stadt München,247042.0,00
2022,Altstadt - Lehel,2527.0,01
2022,Ludwigsvorstadt - Isarvorstadt,6010.0,02
2022,Maxvorstadt,5523.0,03
2022,Schwabing - West,8685.0,04
2022,Au - Haidhausen,9042.0,05
2022,Sendling,5417.0,06
2022,Sendling - Westpark,9339.0,07
2022,Schwanthalerhöhe,4007.0,08
2022,Neuhausen - Nymphenburg,14904.0,09
2022,Moosach,8747.0,10
2022,Milbertshofen - Am Hart,11696.0,11
2022,Schwabing - Freimann,11832.0,12
2022,Bogenhausen,15916.0,13
2022,Berg am Laim,7675.0,14
2022,Trudering - Riem,15096.0,15
2022,Ramersdorf - Perlach,20755.0,16
2022,Obergiesing - Fasangarten,7486.0,17
2022,Untergiesing - Harlaching,7599.0,18
2022,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,16063.0,19
2022,Hadern,7930.0,20
2022,Pasing - Obermenzing,14062.0,21
2022,Aubing - Lochhausen - Langwied,10730.0,22
2022,Allach - Untermenzing,7005.0,23
2022,Feldmoching - Hasenbergl,11457.0,24
2022,Laim,7539.0,25
2021,Stadt München,241232.0,00
2021,Altstadt - Lehel,2476.0,01
2021,Ludwigsvorstadt - Isarvorstadt,6023.0,02
2021,Maxvorstadt,5104.0,03
2021,Schwabing - West,8730.0,04
2021,Au - Haidhausen,8873.0,05
2021,Sendling,5355.0,06
2021,Sendling - Westpark,9089.0,07
2021,Schwanthalerhöhe,4013.0,08
2021,Neuhausen - Nymphenburg,14609.0,09
2021,Moosach,8560.0,10
2021,Milbertshofen - Am Hart,11425.0,11
2021,Schwabing - Freimann,11791.0,12
2021,Bogenhausen,15404.0,13
2021,Berg am Laim,7556.0,14
2021,Trudering - Riem,15044.0,15
2021,Ramersdorf - Perlach,20336.0,16
2021,Obergiesing - Fasangarten,7568.0,17
2021,Untergiesing - Harlaching,7343.0,18
2021,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,15548.0,19
2021,Hadern,7645.0,20
2021,Pasing - Obermenzing,13565.0,21
2021,Aubing - Lochhausen - Langwied,10008.0,22
2021,Allach - Untermenzing,6510.0,23
2021,Feldmoching - Hasenbergl,11302.0,24
2021,Laim,7355.0,25
2020,Stadt München,238912.0,00
2020,Altstadt - Lehel,2524.0,01
2020,Ludwigsvorstadt - Isarvorstadt,6106.0,02
2020,Maxvorstadt,5066.0,03
2020,Schwabing - West,8832.0,04
2020,Au - Haidhausen,8773.0,05
2020,Sendling,5334.0,06
2020,Sendling - Westpark,9075.0,07
2020,Schwanthalerhöhe,4085.0,08
2020,Neuhausen - Nymphenburg,14555.0,09
2020,Moosach,8567.0,10
2020,Milbertshofen - Am Hart,11449.0,11
2020,Schwabing - Freimann,11659.0,12
2020,Bogenhausen,15093.0,13
2020,Berg am Laim,7493.0,14
2020,Trudering - Riem,15063.0,15
2020,Ramersdorf - Perlach,20164.0,16
2020,Obergiesing - Fasangarten,7598.0,17
2020,Untergiesing - Harlaching,7240.0,18
2020,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,15339.0,19
2020,Hadern,7378.0,20
2020,Pasing - Obermenzing,13257.0,21
2020,Aubing - Lochhausen - Langwied,9432.0,22
2020,Allach - Untermenzing,6150.0,23
2020,Feldmoching - Hasenbergl,11195.0,24
2020,Laim,7485.0,25
2019,Stadt München,236921.0,00
2019,Altstadt - Lehel,2488.0,01
2019,Ludwigsvorstadt - Isarvorstadt,6148.0,02
2019,Maxvorstadt,5066.0,03
2019,Schwabing - West,8885.0,04
2019,Au - Haidhausen,8633.0,05
2019,Sendling,5398.0,06
2019,Sendling - Westpark,8975.0,07
2019,Schwanthalerhöhe,4190.0,08
2019,Neuhausen - Nymphenburg,14450.0,09
2019,Moosach,8510.0,10
2019,Milbertshofen - Am Hart,11504.0,11
2019,Schwabing - Freimann,11646.0,12
2019,Bogenhausen,14422.0,13
2019,Berg am Laim,7424.0,14
2019,Trudering - Riem,14939.0,15
2019,Ramersdorf - Perlach,19962.0,16
2019,Obergiesing - Fasangarten,7663.0,17
2019,Untergiesing - Harlaching,7313.0,18
2019,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,15127.0,19
2019,Hadern,7479.0,20
2019,Pasing - Obermenzing,13021.0,21
2019,Aubing - Lochhausen - Langwied,9022.0,22
2019,Allach - Untermenzing,6082.0,23
2019,Feldmoching - Hasenbergl,11162.0,24
2019,Laim,7412.0,25
2018,Stadt München,233354.0,00
2018,Altstadt - Lehel,2451.0,01
2018,Ludwigsvorstadt - Isarvorstadt,6166.0,02
2018,Maxvorstadt,5036.0,03
2018,Schwabing - West,8825.0,04
2018,Au - Haidhausen,8639.0,05
2018,Sendling,5290.0,06
2018,Sendling - Westpark,8908.0,07
2018,Schwanthalerhöhe,4172.0,08
2018,Neuhausen - Nymphenburg,14139.0,09
2018,Moosach,8365.0,10
2018,Milbertshofen - Am Hart,11211.0,11
2018,Schwabing - Freimann,11649.0,12
2018,Bogenhausen,13809.0,13
2018,Berg am Laim,7322.0,14
2018,Trudering - Riem,14958.0,15
2018,Ramersdorf - Perlach,19651.0,16
2018,Obergiesing - Fasangarten,7676.0,17
2018,Untergiesing - Harlaching,7393.0,18
2018,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,14753.0,19
2018,Hadern,7429.0,20
2018,Pasing - Obermenzing,12638.0,21
2018,Aubing - Lochhausen - Langwied,8668.0,22
2018,Allach - Untermenzing,5868.0,23
2018,Feldmoching - Hasenbergl,11117.0,24
2018,Laim,7221.0,25
2017,Stadt München,230018.0,00
2017,Altstadt - Lehel,2449.0,01
2017,Ludwigsvorstadt - Isarvorstadt,6138.0,02
2017,Maxvorstadt,4992.0,03
2017,Schwabing - West,8795.0,04
2017,Au - Haidhausen,8638.0,05
2017,Sendling,5279.0,06
2017,Sendling - Westpark,8792.0,07
2017,Schwanthalerhöhe,4162.0,08
2017,Neuhausen - Nymphenburg,13985.0,09
2017,Moosach,8298.0,10
2017,Milbertshofen - Am Hart,11261.0,11
2017,Schwabing - Freimann,11194.0,12
2017,Bogenhausen,13282.0,13
2017,Berg am Laim,7186.0,14
2017,Trudering - Riem,14926.0,15
2017,Ramersdorf - Perlach,19154.0,16
2017,Obergiesing - Fasangarten,7622.0,17
2017,Untergiesing - Harlaching,7355.0,18
2017,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,14454.0,19
2017,Hadern,7437.0,20
2017,Pasing - Obermenzing,12561.0,21
2017,Aubing - Lochhausen - Langwied,8219.0,22
2017,Allach - Untermenzing,5706.0,23
2017,Feldmoching - Hasenbergl,10942.0,24
2017,Laim,7191.0,25
2016,Stadt München,227597.0,00
2016,Altstadt - Lehel,2419.0,01
2016,Ludwigsvorstadt - Isarvorstadt,6330.0,02
2016,Maxvorstadt,5031.0,03
2016,Schwabing - West,8765.0,04
2016,Au - Haidhausen,8589.0,05
2016,Sendling,5290.0,06
2016,Sendling - Westpark,8477.0,07
