year,tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_number,Unemployment_Rate,Average_Age,Elderly_Population,Young_Population,Total_Population,employed,tile_encoded,panel_area_lag1,pv_price,ev_count_164m,ev_points_164m
2003,tile_r0_c0,7,6,181.557,14.89,48.111706,11.444507,20,4.6,42.6,8329.0,6922.0,42823,67.3,0,,5000.0,0,0
2004,tile_r0_c0,7,6,121.03799999999998,9.926666666666666,48.111706,11.444507,20,4.966666666666667,42.6,8721.0,7029.0,43546,66.73333333333333,0,14.89,5146.666666666667,0,0
2005,tile_r0_c0,7,7,60.51899999999999,4.963333333333333,48.111706,11.444507,20,5.333333333333333,42.6,9113.0,7136.0,44270,66.16666666666666,0,9.926666666666666,5293.333333333333,0,0
2006,tile_r0_c0,7,7,0.0,0.0,48.111706,11.444507,20,5.7,42.6,9505.0,7243.0,44993,65.6,0,4.963333333333333,5440.0,0,0
2007,tile_r0_c0,7,7,52.86333333333334,0.38999999999999996,48.111706,11.444507,20,5.333333333333333,42.63333333333333,9765.333333333334,7242.0,45492,65.36666666666666,0,0.0,4893.333333333333,0,0
2008,tile_r0_c0,7,6,105.72666666666667,0.7799999999999999,48.111706,11.444507,20,4.966666666666667,42.66666666666667,10025.666666666666,7241.0,45991,65.13333333333334,0,0.38999999999999996,4346.666666666667,0,0
2009,tile_r0_c0,7,6,158.59,1.17,48.111706,11.444507,20,4.6,42.7,10286.0,7240.0,46490,64.9,0,0.7799999999999999,3800.0,0,0
2010,tile_r0_c0,7,6,282.35566666666665,34.567,48.111706,11.444507,20,4.333333333333333,42.766666666666666,10399.666666666666,7280.333333333333,46976,64.9,0,1.17,3250.0,0,0
2011,tile_r0_c0,7,5,406.12133333333327,67.964,48.111706,11.444507,20,4.066666666666666,42.833333333333336,10513.333333333334,7320.666666666667,47463,64.9,0,34.567,2700.0,0,0
2012,tile_r0_c0,7,5,529.887,101.361,48.111706,11.444507,20,3.8,42.9,10627.0,7361.0,47949,64.9,0,67.964,2150.0,0,0
2013,tile_r0_c0,7,5,405.5163333333333,69.16933333333333,48.111706,11.444507,20,3.6999999999999997,42.9,10735.666666666666,7436.666666666667,48718,65.10000000000001,0,101.361,1950.0,0,0
2014,tile_r0_c0,6,5,281.14566666666667,36.977666666666664,48.111706,11.444507,20,3.6,42.9,10844.333333333334,7512.333333333333,49488,65.3,0,69.16933333333333,1750.0,0,0
2015,tile_r0_c0,6,5,156.775,4.786,48.111706,11.444507,20,3.5,42.9,10953.0,7588.0,50257,65.5,0,36.977666666666664,1550.0,0,0
2016,tile_r0_c0,6,5,157.094,37.33233333333333,48.111706,11.444507,20,3.2,43.0,10939.666666666666,7535.0,50137,65.56666666666666,0,4.786,1483.3333333333333,0,0
2017,tile_r0_c0,7,6,157.413,69.87866666666666,48.111706,11.444507,20,2.9,43.1,10926.333333333334,7482.0,50018,65.63333333333334,0,37.33233333333333,1416.6666666666667,0,0
2018,tile_r0_c0,7,6,157.732,102.425,48.111706,11.444507,20,2.6,43.2,10913.0,7429.0,49898,65.7,0,69.87866666666666,1350.0,0,0
2019,tile_r0_c0,7,6,159.54000000000002,57.86,48.111706,11.444507,20,2.95,43.35,10907.0,7403.5,49834,65.75,0,102.425,1315.0,0,0
2020,tile_r0_c0,7,6,161.348,13.295,48.111706,11.444507,20,3.3,43.5,10901.0,7378.0,49770,65.8,0,57.86,1280.0,0,0
2021,tile_r0_c0,8,8,80.674,6.6475,48.111706,11.444507,20,3.2,43.2,10814.0,7654.0,50504,65.85,0,13.295,1415.0,0,0
2022,tile_r0_c0,10,10,0.0,0.0,48.111706,11.444507,20,3.1,42.9,10727.0,7930.0,51239,65.9,0,6.6475,1550.0,0,0
2023,tile_r0_c0,9,8,84.666,44.673,48.111706,11.444507,20,3.3,42.95,10739.5,7863.0,51438,66.15,0,0.0,1450.0,0,0
2024,tile_r0_c0,8,7,169.332,89.346,48.111706,11.444507,20,3.5,43.0,10752.0,7796.0,51637,66.4,0,44.673,1350.0,0,0
2003,tile_r0_c1,7,6,169.628,116.028,48.114705,11.444507,20,4.6,42.6,8329.0,6922.0,42823,67.3,1,,5000.0,0,0
2004,tile_r0_c1,7,6,322.3136666666667,78.55733333333333,48.114705,11.444507,20,4.966666666666667,42.6,8721.0,7029.0,43546,66.73333333333333,1,116.028,5146.666666666667,0,0
2005,tile_r0_c1,8,6,474.9993333333333,41.08666666666667,48.114705,11.444507,20,5.333333333333333,42.6,9113.0,7136.0,44270,66.16666666666666,1,78.55733333333333,5293.333333333333,0,0
2006,tile_r0_c1,8,6,627.685,3.616,48.114705,11.444507,20,5.7,42.6,9505.0,7243.0,44993,65.6,1,41.08666666666667,5440.0,0,0
2007,tile_r0_c1,8,6,525.4423333333333,9.855,48.114705,11.444507,20,5.333333333333333,42.63333333333333,9765.333333333334,7242.0,45492,65.36666666666666,1,3.616,4893.333333333333,0,0
2008,tile_r0_c1,7,6,423.19966666666664,16.094,48.114705,11.444507,20,4.966666666666667,42.66666666666667,10025.666666666666,7241.0,45991,65.13333333333334,1,9.855,4346.666666666667,0,0
2009,tile_r0_c1,7,6,320.957,22.333,48.114705,11.444507,20,4.6,42.7,10286.0,7240.0,46490,64.9,1,16.094,3800.0,0,0
2010,tile_r0_c1,8,7,213.97133333333335,14.888666666666666,48.114705,11.444507,20,4.333333333333333,42.766666666666666,10399.666666666666,7280.333333333333,46976,64.9,1,22.333,3250.0,0,0
2011,tile_r0_c1,8,8,106.98566666666667,7.444333333333333,48.114705,11.444507,20,4.066666666666666,42.833333333333336,10513.333333333334,7320.666666666667,47463,64.9,1,14.888666666666666,2700.0,0,0
2012,tile_r0_c1,9,9,0.0,0.0,48.114705,11.444507,20,3.8,42.9,10627.0,7361.0,47949,64.9,1,7.444333333333333,2150.0,0,0
2013,tile_r0_c1,9,8,25.984333333333336,8.401333333333334,48.114705,11.444507,20,3.6999999999999997,42.9,10735.666666666666,7436.666666666667,48718,65.10000000000001,1,0.0,1950.0,0,0
2014,tile_r0_c1,8,8,51.96866666666667,16.802666666666667,48.114705,11.444507,20,3.6,42.9,10844.333333333334,7512.333333333333,49488,65.3,1,8.401333333333334,1750.0,0,0
2015,tile_r0_c1,8,7,77.953,25.204,48.114705,11.444507,20,3.5,42.9,10953.0,7588.0,50257,65.5,1,16.802666666666667,1550.0,0,0
2016,tile_r0_c1,8,7,170.9716666666667,25.523333333333333,48.114705,11.444507,20,3.2,43.0,10939.666666666666,7535.0,50137,65.56666666666666,1,25.204,1483.3333333333333,0,0
2017,tile_r0_c1,9,8,263.99033333333335,25.842666666666666,48.114705,11.444507,20,2.9,43.1,10926.333333333334,7482.0,50018,65.63333333333334,1,25.523333333333333,1416.6666666666667,0,0
2018,tile_r0_c1,9,8,357.009,26.162,48.114705,11.444507,20,2.6,43.2,10913.0,7429.0,49898,65.7,1,25.842666666666666,1350.0,0,0
2019,tile_r0_c1,12,10,240.82500000000002,30.735,48.114705,11.444507,20,2.95,43.35,10907.0,7403.5,49834,65.75,1,26.162,1315.0,0,0
2020,tile_r0_c1,15,13,124.641,35.308,48.114705,11.444507,20,3.3,43.5,10901.0,7378.0,49770,65.8,1,30.735,1280.0,0,0
2021,tile_r0_c1,14,13,101.8285,29.936999999999998,48.114705,11.444507,20,3.2,43.2,10814.0,7654.0,50504,65.85,1,35.308,1415.0,0,0
2022,tile_r0_c1,14,13,79.016,24.566,48.114705,11.444507,20,3.1,42.9,10727.0,7930.0,51239,65.9,1,29.936999999999998,1550.0,0,0
2023,tile_r0_c1,13,12,179.30200000000002,39.082499999999996,48.114705,11.444507,20,3.3,42.95,10739.5,7863.0,51438,66.15,1,24.566,1450.0,0,0
2024,tile_r0_c1,12,11,279.588,53.599,48.114705,11.444507,20,3.5,43.0,10752.0,7796.0,51637,66.4,1,39.082499999999996,1350.0,0,0
2003,tile_r0_c10,93,90,1649.384,37.29,48.141687,11.444507,21,4.2,41.9,10832.0,10204.0,61509,68.8,2,,5000.0,0,0
