tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,square_meters_without_solar_m2,panel_area_m2,tile_centroid_lat,tile_centroid_lon,district_name,district_number,year,match_type,distance_to_district_m
tile_r0_c0,6,5,156.775,1212.408,4.786,48.111706,11.444507,Hadern,20,2015,nearest,1392.6144607447955
tile_r0_c1,8,7,77.953,1154.637,25.204,48.114705,11.444507,Hadern,20,2015,nearest,1400.3337933497783
tile_r0_c10,97,84,4572.088,18139.294,257.417,48.141687,11.444507,Pasing-Obermenzing,21,2015,exact,0.0
tile_r0_c11,96,85,3724.213,20437.338,440.52,48.144684,11.444507,Pasing-Obermenzing,21,2015,exact,0.0
tile_r0_c12,46,42,4263.092,12927.133,70.951,48.147681,11.444507,Pasing-Obermenzing,21,2015,exact,0.0
tile_r0_c13,53,49,9253.001,13052.389,5528.119,48.150678,11.444507,Aubing-Lochhausen-Langwied,22,2015,exact,0.0
tile_r0_c14,10,8,244.456,2151.453,52.565,48.153674,11.444507,Aubing-Lochhausen-Langwied,22,2015,exact,0.0
tile_r0_c15,85,80,1778.764,9918.833,41.621,48.156671,11.444507,Pasing-Obermenzing,21,2015,exact,0.0
tile_r0_c16,77,69,7535.721,22444.659,416.807,48.159667,11.444507,Pasing-Obermenzing,21,2015,exact,0.0
tile_r0_c17,114,97,4457.266,20145.779,196.701,48.162663,11.444507,Pasing-Obermenzing,21,2015,exact,0.0
tile_r0_c18,9,9,0.0,1262.887,0.0,48.165659,11.444507,Pasing-Obermenzing,21,2015,exact,0.0
tile_r0_c19,2,1,236.884,163.758,125.234,48.168655,11.444507,Pasing-Obermenzing,21,2015,exact,0.0
tile_r0_c2,41,34,9155.039,11146.069,1041.896,48.117704,11.444507,Hadern,20,2015,nearest,1450.62625325846
tile_r0_c20,2,2,0.0,374.579,0.0,48.17165,11.444507,Pasing-Obermenzing,21,2015,exact,0.0
tile_r0_c21,21,18,1559.368,2227.65,124.138,48.174646,11.444507,Pasing-Obermenzing,21,2015,exact,0.0
