tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,panel_area_m2,district_number,year,Unemployment_Rate,Average_Age,Elderly_Population,Young_Population,Total_Population,Number_of_Houses,employed
tile_r0_c0,7,5,529.887,101.361,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r0_c1,9,9,0.0,0.0,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r0_c10,90,80,3339.949,201.642,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c11,97,90,2715.933,343.005,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c12,42,39,5222.084,75.094,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c13,58,53,12327.392,5439.44,22,2012,"3,6","42,5",8817.0,7145.0,41116,,"63,8"
tile_r0_c14,9,8,133.166,61.379,22,2012,"3,6","42,5",8817.0,7145.0,41116,,"63,8"
tile_r0_c15,92,88,1538.376,52.876,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c16,73,69,4222.511,219.554,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c17,121,111,2445.439,110.292,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c18,5,5,0.0,0.0,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c19,3,1,400.323,28.973,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c2,34,28,9655.453,725.744,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r0_c20,0,0,0.0,0.0,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c21,9,7,979.525,294.43,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c22,25,21,3725.052,727.906,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r0_c23,134,120,4679.587,431.214,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r0_c24,145,135,2497.654,218.179,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r0_c25,51,47,523.808,62.785,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r0_c26,0,0,0.0,0.0,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r0_c3,21,18,2002.778,653.804,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c4,41,34,3311.443,235.165,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c5,69,63,1596.87,56.34,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c6,0,0,0.0,0.0,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c7,1,0,78.645,4.889,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c8,153,147,1432.444,80.228,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r0_c9,112,104,3596.981,91.693,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r10_c0,132,124,1639.165,98.705,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c1,128,116,3191.89,234.076,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c10,76,67,10183.325,344.324,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r10_c11,37,31,10232.013,431.39,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r10_c12,68,67,43.016,1.381,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c13,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c14,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c15,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c16,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c17,17,15,613.231,83.647,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r10_c18,63,56,2118.672,95.739,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r10_c19,39,31,1467.443,546.355,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r10_c2,61,53,7802.275,273.711,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c20,36,33,650.172,63.245,21,2012,"3,2","42,2",13608.0,11579.0,69295,,"66,2"
tile_r10_c21,54,49,1776.459,81.168,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r10_c22,96,89,1285.19,105.03,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r10_c23,111,104,3402.414,154.558,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r10_c24,119,111,2121.423,154.008,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r10_c25,126,121,648.208,81.344,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r10_c26,0,0,0.0,0.0,23,2012,"2,9","42,4",6037.0,5303.0,30393,,"65,6"
tile_r10_c3,28,19,14477.857,1855.604,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c4,34,31,13351.088,788.954,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c5,96,86,3789.356,308.16,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c6,118,111,1459.452,154.013,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r10_c7,139,132,1426.848,146.128,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r10_c8,122,112,3180.894,57.595,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r10_c9,121,108,3254.59,383.566,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c0,74,68,1366.434,74.879,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c1,109,100,1800.183,165.161,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c10,52,40,10785.966,226.712,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c11,27,21,13214.359,1071.835,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c12,65,64,679.575,467.991,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c13,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c14,2,2,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c15,0,0,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c16,3,3,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c17,1,1,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c18,2,2,0.0,0.0,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
tile_r11_c19,8,7,253.642,1.698,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c2,44,33,17291.813,781.573,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c20,12,12,0.0,0.0,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c21,19,18,285.102,9.337,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c22,75,68,1640.898,249.949,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c23,35,33,603.473,123.791,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c24,47,41,3622.897,405.916,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c25,95,90,1357.623,117.083,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c26,0,0,0.0,0.0,10,2012,"4,7","41,9",9319.0,7461.0,50253,,69
tile_r11_c3,30,22,9316.831,1281.342,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c4,61,56,2718.114,305.759,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c5,44,35,6992.806,166.677,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r11_c6,93,83,5137.395,622.96,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c7,134,128,3416.558,139.755,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c8,68,66,666.605,367.359,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r11_c9,90,82,1887.764,170.85,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r12_c0,38,35,791.113,110.296,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r12_c1,141,132,1660.852,229.288,20,2012,"3,8","42,9",10627.0,7361.0,47949,,"64,9"
tile_r12_c10,82,68,8160.382,249.449,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r12_c11,11,6,15616.009,895.816,25,2012,"3,8","42,7",10423.0,6497.0,53359,,"70,1"
tile_r12_c12,12,6,8546.978,2810.49,09,2012,"2,9","41,1",15474.0,12560.0,94257,,"72,1"
